"","X","ประเภทสถานศึกษา","ที่ตั้งสถานศึกษา","จำนวนรายวิชาที่ลงทะเบียน","จำนวนรายวิชาonline","จำนวนรายวิชาonsite","ระดับความพร้อมสถานศึกษา","videoConference","Live","LMS","groupChat","email","collapApps","clipVideo","อายุเฉลี่ยผู้สอน","ภาพรวมความสามารถในการใช้สื่อเทคโนโลยีของผู้สอน","climate.online1","climate.online2","climate.online3","climate.onsite1","climate.onsite2","climate.onsite3","เพศผู้เรียน","ระดับชั้น","ภูมิลำเนา","สไตล์การเรียนที่ชอบ","smartphone","ipad","computer","ความพร้อมของinternet","บรรยากาศที่พักอาศัย","ความสามารถผู้เรียนในการใช้เทคโนโลยี","ความคิดเห็นต่อการเรียน","interaction.online1","interaction.online2","interaction.online3","interaction.onsite1","interaction.onsite2","interaction.onsite3","ความเครียดขณะเรียนonline","ความเครียดขณะเรียนonsite","outcome.online1","outcome.online2","outcome.online3","outcome.online4","outcome.onsite1","outcome.onsite2","outcome.onsite3","outcome.onsite4"
"462",462,"มหาวิทยาลัย","เหนือ",7,0,7,1,0,0,0,0,0,0,0,2,2,2,2,3,5,5,4,1,5,"ใต้",2,1,1,1,1,1,3,2,3,3,5,2,2,1,4,2,3,3,2,52.7050883461582,2,2,NA,42.391863784698
"463",463,"มหาวิทยาลัย","เหนือ",5,0,5,1,0,0,0,0,0,0,0,2,2,2,4,2,2,2,1,1,3,"กลาง",2,1,0,1,1,2,1,1,2,2,1,2,1,3,2,5,1,1,2,46.2069446371031,1,2,2,43.6865293931301
"464",464,"มหาวิทยาลัย","เหนือ",7,7,0,3,1,1,0,0,1,1,1,1,2,5,5,4,5,5,NA,2,2,"กลาง",1,1,0,1,0,1,3,2,4,4,4,2,2,2,1,5,3,1,3,45.2889583712025,1,2,1,31.3634550340297
"465",465,"มหาวิทยาลัย","เหนือ",6,6,0,3,0,0,0,0,1,1,1,2,2,5,2,4,2,3,3,1,5,"เหนือ",3,1,0,1,0,1,3,3,3,3,3,3,2,3,2,5,1,1,1,36.4275743048664,1,1,1,22.6680719943799
"466",466,"มหาวิทยาลัย","เหนือ",5,5,0,3,0,0,1,0,1,1,1,1,3,4,3,NA,4,3,5,1,3,"ใต้",3,1,0,1,0,1,3,2,3,3,4,2,2,1,1,5,3,3,2,59.9535832958608,1,1,2,35.4285581575217
"467",467,"มหาวิทยาลัย","เหนือ",5,1,4,1,0,1,1,1,1,1,1,2,3,3,5,4,1,1,1,1,3,"กลาง",1,1,0,1,NA,1,3,2,3,3,4,2,3,2,5,5,1,1,1,30.3178429629835,1,2,1,37.686986297295
"468",468,"มหาวิทยาลัย","เหนือ",8,0,8,2,0,0,0,0,0,0,0,2,3,NA,3,3,4,4,2,2,4,"กลาง",2,1,1,1,0,1,3,2,3,3,3,3,2,2,1,2,2,3,3,50.8206465549352,1,2,1,32.0707088805267
"469",469,"มหาวิทยาลัย","เหนือ",6,6,0,3,0,1,0,1,0,1,0,2,3,5,3,NA,2,2,1,1,3,"กลาง",2,1,1,1,1,1,3,2,5,4,4,2,2,2,1,2,4,3,3,63.6000306927307,1,1,1,45.5287153755596
"470",470,"มหาวิทยาลัย","เหนือ",7,7,0,3,1,0,0,1,1,1,1,2,3,5,5,4,3,NA,3,2,3,"ใต้",3,1,0,1,1,2,2,2,3,3,3,2,3,2,5,1,2,2,2,40.1020252039699,1,1,1,28.127950377403
"471",471,"มหาวิทยาลัย","เหนือ",6,6,0,3,0,0,0,0,1,1,1,2,3,4,2,5,NA,4,4,2,3,"เหนือ",3,1,0,1,1,2,1,3,3,3,3,2,3,2,2,5,2,NA,2,33.6101481649459,2,2,2,36.5371615563828
"472",472,"มหาวิทยาลัย","เหนือ",7,0,7,1,0,0,0,0,0,0,0,2,3,5,NA,3,3,3,4,2,3,"กลาง",1,1,0,0,0,2,2,1,1,1,2,2,3,3,2,1,1,1,1,30.9436292716861,2,2,NA,43.1268514518502
"473",473,"มหาวิทยาลัย","เหนือ",6,3,3,3,0,1,0,1,0,1,1,2,2,3,3,2,5,5,NA,1,5,"กลาง",1,1,0,1,0,1,2,3,2,3,2,2,3,3,1,1,1,2,1,31.4651284095777,2,2,1,36.9137552387356
"474",474,"มหาวิทยาลัย","เหนือ",6,6,0,3,0,0,0,0,0,1,1,2,3,4,5,3,2,2,2,1,2,"กลาง",2,1,0,1,1,1,3,2,3,3,3,2,2,3,1,5,2,2,2,44.1143263144019,1,2,1,32.441316300086
"475",475,"มหาวิทยาลัย","เหนือ",4,0,4,2,0,0,0,0,0,0,0,2,3,2,3,4,1,1,1,2,2,"กลาง",2,1,0,1,0,2,NA,3,2,3,3,1,2,2,5,2,2,2,1,40.7023492925859,2,2,1,42.7896007604129
"476",476,"มหาวิทยาลัย","เหนือ",5,3,2,2,0,1,0,0,1,1,1,2,2,3,4,2,4,4,3,2,5,"กลาง",2,1,0,1,0,2,1,1,2,1,2,2,3,3,5,3,1,1,1,23.4566615734891,1,2,2,44.7658840745766
"477",477,"มหาวิทยาลัย","เหนือ",6,1,5,2,0,1,0,0,0,1,1,3,2,2,1,1,3,1,3,1,2,"เหนือ",1,1,0,1,1,NA,1,1,2,2,1,3,4,3,4,1,1,1,1,42.4032671357049,1,2,1,46.5007995356529
"478",478,"มหาวิทยาลัย","เหนือ",6,0,6,1,0,0,0,0,0,0,0,3,1,2,4,1,3,NA,4,2,5,"เหนือ",1,1,0,1,1,2,3,3,1,2,2,3,3,3,NA,1,2,2,2,28.5537368390152,2,1,2,49.4470325002168
"479",479,"มหาวิทยาลัย","เหนือ",6,6,0,3,0,0,0,0,1,1,0,2,2,3,3,3,2,4,2,2,2,"กลาง",1,1,0,1,1,1,2,3,2,2,2,3,2,3,5,5,1,1,1,32.9636402958057,3,2,2,49.2953207671954
"480",480,"มหาวิทยาลัย","เหนือ",5,3,2,3,1,0,1,1,1,0,1,2,2,5,5,2,4,1,1,2,5,"กลาง",2,1,0,1,1,1,2,2,3,3,3,NA,1,2,5,2,1,1,1,38.9664873878096,1,2,1,35.3483857098354
"481",481,"มหาวิทยาลัย","เหนือ",5,4,1,3,0,0,1,0,1,1,1,2,3,NA,2,3,4,2,2,2,2,"เหนือ",1,1,1,1,1,1,2,2,4,5,3,2,2,3,2,5,3,NA,3,47.3334417319614,2,3,1,41.2123733678831
"482",482,"มหาวิทยาลัย","เหนือ",6,0,6,2,0,0,0,0,0,0,0,2,2,NA,3,4,1,2,2,2,2,"เหนือ",2,1,1,NA,1,1,3,3,2,4,3,2,3,2,1,3,3,1,3,41.7123028714519,1,2,2,42.0900895390183
"483",483,"มหาวิทยาลัย","เหนือ",6,0,6,1,0,0,0,0,0,0,0,2,2,NA,3,1,2,4,3,2,3,"กลาง",3,0,0,1,1,2,1,1,1,1,1,3,2,2,NA,5,1,1,2,31.7072269241175,3,2,2,48.7859557229522
"484",484,"มหาวิทยาลัย","เหนือ",8,8,0,4,0,0,0,0,1,1,0,2,2,1,2,3,NA,5,5,1,3,"กลาง",1,1,0,1,0,1,3,2,3,3,3,3,2,2,5,5,1,1,2,48.4579879665941,2,1,1,39.0593866698616
"485",485,"มหาวิทยาลัย","เหนือ",5,0,5,2,0,0,0,0,0,0,0,2,2,3,4,2,1,2,2,2,3,"อิสาน",1,1,0,1,1,2,3,1,2,2,2,2,3,2,4,1,1,1,1,29.7076728418462,2,1,2,44.1724604078046
"486",486,"มหาวิทยาลัย","เหนือ",5,3,2,2,1,0,0,0,1,1,1,2,2,3,3,2,5,3,3,1,3,"กลาง",2,1,0,1,1,1,2,3,2,2,3,2,2,2,3,NA,1,1,2,35.632648673242,1,1,1,44.4709412539173
"487",487,"มหาวิทยาลัย","เหนือ",5,0,5,2,0,0,0,0,0,0,0,1,3,4,5,NA,5,3,4,2,4,"กลาง",2,1,0,1,1,2,1,1,2,2,2,2,1,1,4,1,2,1,1,29.1524980270591,1,1,2,44.3471280196358
"488",488,"มหาวิทยาลัย","เหนือ",6,1,5,2,0,0,0,1,1,1,1,3,1,1,1,1,1,1,1,2,3,"อิสาน",1,1,0,1,0,1,3,3,2,NA,2,4,3,3,4,3,1,1,1,52.9262781239715,1,2,2,53.206272337666
"489",489,"มหาวิทยาลัย","เหนือ",5,5,0,2,1,1,0,0,1,1,1,2,3,5,4,NA,3,4,4,1,4,"เหนือ",1,1,0,1,1,1,2,2,3,3,3,2,2,NA,1,1,2,2,3,41.4784940014169,2,1,1,38.4291968349063
"490",490,"มหาวิทยาลัย","เหนือ",6,6,0,3,1,0,1,1,0,1,0,2,2,4,4,2,5,4,5,2,3,"อิสาน",1,NA,1,1,1,1,3,2,4,4,3,3,3,3,1,1,2,3,3,49.0770004223819,2,1,1,38.4024723718602
"491",491,"มหาวิทยาลัย","เหนือ",7,7,0,5,0,0,0,0,0,1,1,2,2,2,2,2,3,3,1,1,2,"ใต้",2,1,0,1,0,1,2,3,3,2,2,2,3,3,2,4,1,2,1,24.8715164560011,2,2,2,52.3311673269259
"492",492,"มหาวิทยาลัย","เหนือ",6,5,1,3,0,0,1,1,1,1,0,1,2,NA,2,3,1,2,1,1,3,"กลาง",2,1,1,1,1,1,3,2,5,5,5,1,3,2,5,2,NA,3,2,40.7535192570884,1,2,2,36.9684968669275
"493",493,"มหาวิทยาลัย","เหนือ",6,6,0,3,1,0,1,0,1,1,1,2,3,NA,5,5,1,2,2,1,3,"กลาง",1,1,0,1,1,1,1,3,3,3,3,2,2,1,5,2,1,2,2,37.3121150250136,1,2,1,NA
"494",494,"มหาวิทยาลัย","เหนือ",6,6,0,3,0,1,1,0,0,1,0,2,3,NA,2,5,3,2,4,1,4,"กลาง",1,1,1,1,1,1,3,2,4,3,5,3,3,3,1,2,2,3,3,49.040450316471,1,1,1,25.985828376105
"495",495,"มหาวิทยาลัย","เหนือ",7,6,1,5,0,1,1,1,0,1,0,2,1,3,3,1,3,2,2,2,2,"อิสาน",2,1,0,1,0,1,2,2,3,3,2,4,2,3,2,4,2,3,1,24.3860215972226,1,1,1,20.7424638517722
"496",496,"มหาวิทยาลัย","เหนือ",7,7,0,3,0,1,1,1,1,1,1,1,3,4,5,4,5,4,NA,1,5,"เหนือ",3,1,0,1,1,2,2,2,5,3,5,1,2,2,1,3,2,2,1,39.7306662629124,2,1,3,51.0086653228253
"497",497,"มหาวิทยาลัย","เหนือ",8,8,0,4,0,1,1,0,0,1,1,2,2,NA,3,2,5,5,2,2,3,"กลาง",2,NA,0,1,1,1,2,3,3,3,3,2,3,3,1,1,1,1,1,33.71287703999,2,2,3,49.5357629779345
"498",498,"มหาวิทยาลัย","เหนือ",6,4,2,5,0,0,1,0,1,0,1,2,3,NA,3,3,3,1,2,2,5,"กลาง",2,1,0,1,0,2,2,3,3,2,2,2,1,2,1,5,2,2,2,41.6762285583775,2,2,1,38.2301518162482
"499",499,"มหาวิทยาลัย","เหนือ",5,0,5,2,0,0,0,0,0,0,0,2,2,NA,4,2,5,4,3,1,4,"ใต้",2,1,0,1,1,2,2,1,2,2,2,3,3,3,2,4,2,1,1,41.2241934447645,1,1,1,46.1272013561601
"500",500,"มหาวิทยาลัย","เหนือ",7,0,7,2,0,0,0,0,0,0,0,1,2,3,5,2,2,3,2,1,2,"เหนือ",1,1,0,1,0,2,2,1,2,2,3,2,2,1,1,1,1,2,2,35.8638043867698,1,1,1,39.086877338078
"501",501,"มหาวิทยาลัย","เหนือ",6,6,0,4,0,0,1,0,0,1,1,2,1,2,4,1,1,1,2,1,4,"ใต้",2,1,0,1,0,2,2,1,NA,2,2,2,3,3,5,5,1,1,1,27.5379143113358,1,2,1,28.5148839646055
"502",502,"มหาวิทยาลัย","เหนือ",6,1,5,2,1,0,1,0,1,1,1,2,2,1,4,1,3,3,4,2,4,"เหนือ",1,1,1,1,0,1,3,2,3,3,3,3,4,3,5,1,1,1,1,39.6812624497054,1,1,2,32.9903685555394
"503",503,"มหาวิทยาลัย","เหนือ",8,0,8,1,0,0,0,0,0,0,0,2,3,3,5,4,1,1,4,1,3,"กลาง",2,1,0,1,0,1,2,1,3,3,2,2,2,2,5,4,1,1,1,33.4999801986564,1,1,1,27.759037767343
"504",504,"มหาวิทยาลัย","เหนือ",4,0,4,2,0,0,0,0,0,0,0,2,2,2,3,3,3,NA,5,2,4,"กลาง",2,1,1,1,0,2,3,3,3,NA,3,3,2,2,1,1,2,2,3,52.1980890244209,2,2,1,44.0178415777516
"505",505,"มหาวิทยาลัย","เหนือ",6,5,1,3,0,0,1,0,1,1,1,2,3,4,4,5,NA,3,5,2,2,"เหนือ",3,1,1,1,1,2,3,2,4,4,5,3,2,2,1,4,2,1,2,46.4411060268614,NA,2,1,34.2476277220713
"506",506,"มหาวิทยาลัย","เหนือ",6,0,6,2,0,0,0,0,0,0,0,2,2,4,2,1,2,NA,2,1,3,"อิสาน",1,1,0,1,1,1,2,1,3,3,3,2,2,2,3,5,1,2,1,36.2116606023837,1,2,2,37.3494725143992
"507",507,"มหาวิทยาลัย","เหนือ",6,6,0,4,0,1,0,0,1,1,0,2,3,5,4,4,NA,2,3,1,3,"กลาง",2,1,0,1,1,1,3,2,4,3,3,2,3,1,2,1,2,1,1,43.908368627248,1,2,2,45.9511403781013
"508",508,"มหาวิทยาลัย","เหนือ",5,5,0,3,1,1,0,0,1,1,1,2,2,3,2,4,1,1,2,1,2,"กลาง",2,1,1,1,1,1,3,2,3,4,5,2,3,3,1,4,3,2,2,41.5318819803729,2,1,1,36.5733704787559
"509",509,"มหาวิทยาลัย","เหนือ",5,0,5,1,0,0,0,0,0,0,0,1,3,5,3,5,3,3,2,2,4,"กลาง",2,1,0,1,0,2,2,1,2,3,2,1,1,1,4,1,2,2,1,36.4109298506601,1,1,1,37.7682592647794
"510",510,"มหาวิทยาลัย","เหนือ",6,5,1,3,0,0,1,0,1,0,1,3,2,3,2,1,3,2,4,1,5,"อิสาน",2,1,0,1,1,1,2,3,2,1,2,NA,4,2,2,1,1,2,3,22.5139796847538,1,1,2,35.3485777696341
"511",511,"มหาวิทยาลัย","เหนือ",5,0,5,1,0,0,0,0,0,0,0,2,1,NA,1,3,5,5,5,1,2,"กลาง",2,1,0,1,1,1,3,3,2,3,3,3,3,3,1,5,1,1,1,NA,2,2,2,56.9574753847831
"512",512,"มหาวิทยาลัย","เหนือ",6,3,3,2,1,1,0,1,1,1,0,2,3,4,NA,3,5,5,5,2,5,"กลาง",1,1,0,1,0,2,2,3,3,3,3,3,2,2,5,NA,2,1,2,33.8910233287189,1,1,1,27.2063460207137
"513",513,"มหาวิทยาลัย","เหนือ",6,6,0,2,0,1,1,0,1,1,0,2,2,3,1,5,1,2,1,2,3,"กลาง",2,1,0,1,0,1,2,3,3,3,2,2,2,2,5,3,1,2,2,38.2071425388382,2,1,1,31.5418258434313
"514",514,"มหาวิทยาลัย","เหนือ",6,6,0,2,1,1,0,1,1,1,1,1,3,3,5,3,4,4,NA,2,2,"กลาง",3,1,1,1,1,1,3,2,5,5,4,2,1,2,3,3,1,2,2,39.89758861434,2,2,2,46.8542143596922
"515",515,"มหาวิทยาลัย","เหนือ",5,4,1,1,1,1,0,1,1,1,1,2,3,NA,1,5,5,5,5,1,4,"ใต้",2,1,0,1,1,2,2,3,3,3,3,2,2,3,1,1,1,2,2,42.7563399458863,NA,3,2,47.3507123542106
"516",516,"มหาวิทยาลัย","เหนือ",6,6,0,3,0,1,1,0,1,1,1,2,2,2,1,4,2,3,3,1,5,"กลาง",1,1,1,1,1,1,3,2,NA,3,5,2,3,3,2,5,1,1,1,39.2730133164085,1,2,1,37.452292939399
"517",517,"มหาวิทยาลัย","เหนือ",6,5,1,4,0,0,1,0,1,1,1,2,1,1,2,1,2,2,3,2,4,"กลาง",3,1,1,1,0,2,3,2,3,3,3,3,4,NA,2,5,1,1,3,42.9240340506495,1,2,1,39.3711308520184
"518",518,"มหาวิทยาลัย","เหนือ",5,0,5,2,0,0,0,0,0,0,0,2,3,2,3,NA,3,3,5,1,2,"ใต้",1,1,0,1,1,1,2,3,3,3,3,2,2,2,2,NA,2,1,1,32.4366402623223,2,2,2,42.7606199777042
"519",519,"มหาวิทยาลัย","เหนือ",6,6,0,3,1,0,1,0,0,1,0,1,3,5,5,4,4,NA,4,2,5,"ใต้",2,1,0,1,0,1,3,3,3,3,3,1,1,2,5,2,1,1,NA,40.0728116374604,1,1,1,29.3061965028473
"520",520,"มหาวิทยาลัย","เหนือ",7,0,7,2,0,0,0,0,0,0,0,2,3,4,4,4,NA,5,3,1,5,"อิสาน",3,1,0,1,0,1,1,1,2,2,2,2,2,3,5,2,1,1,1,39.9284891275281,1,1,1,34.5776787564284
"521",521,"มหาวิทยาลัย","เหนือ",6,3,3,2,0,0,1,0,0,1,0,2,3,3,5,5,3,3,NA,1,2,"กลาง",1,1,1,1,0,1,2,3,3,3,3,2,3,2,2,1,1,2,2,48.3528301289914,1,1,2,33.22817783619
"522",522,"มหาวิทยาลัย","เหนือ",5,0,5,1,0,0,0,0,0,0,0,2,2,2,4,3,3,2,2,1,5,"อิสาน",3,1,1,1,1,1,3,3,3,2,2,NA,2,3,1,5,1,1,2,33.1498087776735,1,2,2,33.806506364819
"523",523,"มหาวิทยาลัย","เหนือ",5,5,0,4,1,0,1,0,1,1,1,1,3,5,5,5,3,NA,3,2,3,"กลาง",2,1,0,NA,1,1,1,3,3,4,3,2,1,2,4,3,2,2,1,45.7174896788762,1,2,2,45.6967476929771
"524",524,"มหาวิทยาลัย","เหนือ",5,5,0,4,0,0,1,0,0,0,0,2,3,4,5,5,5,NA,4,1,2,"กลาง",1,1,1,1,0,NA,3,2,3,5,3,3,3,3,1,4,3,3,4,36.8231640381591,2,2,2,51.6938175609745
"525",525,"มหาวิทยาลัย","เหนือ",5,0,5,1,0,0,0,0,0,0,0,2,3,5,3,4,3,3,NA,2,3,"ใต้",2,1,0,1,1,1,2,3,3,3,2,3,3,2,1,1,2,1,1,31.6772920776075,1,1,1,35.5854007788788
"526",526,"มหาวิทยาลัย","เหนือ",7,7,0,5,0,0,0,0,0,1,1,2,3,4,NA,3,5,4,4,1,5,"กลาง",1,1,0,1,NA,1,3,3,3,3,2,3,5,3,2,5,2,2,1,43.2028390249921,2,1,2,42.8333120513538
"527",527,"มหาวิทยาลัย","เหนือ",5,5,0,3,0,0,0,0,1,1,0,2,3,2,4,4,3,1,2,1,3,"กลาง",1,1,0,1,0,1,2,3,3,3,2,1,2,2,4,5,1,2,2,35.2676542898224,2,2,2,55.8131286737108
"528",528,"มหาวิทยาลัย","เหนือ",5,0,5,1,0,0,0,0,0,0,0,2,2,3,4,2,5,4,4,1,2,"กลาง",2,1,0,1,1,1,2,3,2,3,3,3,2,3,NA,2,1,1,2,35.3455144550701,2,3,2,40.2549051378935
"529",529,"มหาวิทยาลัย","เหนือ",8,6,2,2,0,0,0,0,1,1,0,2,2,3,2,2,3,2,1,1,3,"กลาง",1,1,0,1,0,2,2,3,2,2,2,2,3,2,1,3,1,1,1,38.1362497937006,1,1,1,27.9617739062976
"530",530,"มหาวิทยาลัย","เหนือ",7,3,4,3,1,1,1,0,1,1,1,2,2,4,4,5,NA,2,1,1,5,"เหนือ",1,1,1,1,0,2,3,3,3,3,2,2,2,NA,2,1,1,2,1,38.655632147447,2,1,1,44.3100553560243
"531",531,"มหาวิทยาลัย","เหนือ",5,4,1,3,1,0,1,1,1,1,1,2,2,1,3,4,5,5,5,2,4,"กลาง",2,1,0,1,1,1,3,2,3,3,3,3,2,2,5,4,2,2,1,33.3169033815412,1,1,1,37.3329085978245
"532",532,"มหาวิทยาลัย","เหนือ",6,0,6,1,0,0,0,0,0,0,0,2,3,3,3,NA,2,2,3,2,5,"ใต้",1,1,0,1,1,1,1,3,2,2,1,2,2,3,5,2,2,2,1,28.3266796863238,1,1,1,22.3978256965746
"533",533,"มหาวิทยาลัย","เหนือ",6,2,4,2,1,0,1,0,1,1,1,1,3,5,NA,4,1,3,2,2,2,"กลาง",2,1,0,1,1,1,2,2,3,4,4,2,1,NA,3,4,2,3,3,56.5200734555263,2,2,3,28.4905742239326
"534",534,"มหาวิทยาลัย","เหนือ",6,6,0,2,0,1,1,1,1,1,0,1,3,4,4,5,1,NA,2,2,4,"กลาง",2,1,0,1,0,1,2,2,4,3,4,1,2,2,2,2,2,3,2,56.7804362461948,1,1,2,39.1208688114088
"535",535,"มหาวิทยาลัย","เหนือ",8,2,6,2,0,1,1,0,1,1,0,2,2,2,3,2,1,1,2,2,3,"กลาง",1,0,1,1,1,2,2,1,2,3,2,2,3,2,3,2,1,1,1,37.7176398086575,2,1,1,38.7280345550397
"536",536,"มหาวิทยาลัย","เหนือ",5,5,0,2,0,1,0,0,0,0,0,3,1,2,1,1,2,2,2,2,4,"กลาง",1,1,1,1,0,1,3,2,2,2,3,3,4,4,1,1,2,1,2,29.9847698524244,1,2,1,22.454133549113
"537",537,"มหาวิทยาลัย","เหนือ",7,2,5,2,1,0,1,0,1,1,0,1,3,NA,5,4,3,4,3,1,3,"กลาง",2,1,0,1,1,1,1,3,3,2,1,3,2,2,5,5,1,1,1,28.6922091547611,1,1,1,17.256000667239
"538",538,"มหาวิทยาลัย","เหนือ",8,1,7,1,0,1,1,0,1,1,0,2,2,1,2,3,4,5,5,2,5,"ใต้",1,1,1,1,1,2,3,2,3,3,2,2,2,3,1,1,1,1,2,46.7337672607199,2,2,2,40.2437965702018
"539",539,"มหาวิทยาลัย","เหนือ",7,0,7,2,0,0,0,0,0,0,0,2,3,NA,4,3,5,3,5,1,4,"อิสาน",2,1,0,1,1,1,2,3,3,2,2,2,3,3,NA,4,1,1,1,26.9058211308443,3,2,2,43.1452569293237
"540",540,"มหาวิทยาลัย","เหนือ",7,0,7,2,0,0,0,0,0,0,0,2,3,5,4,5,2,NA,2,2,2,"กลาง",2,1,0,1,1,1,2,1,3,2,2,3,2,2,3,3,2,2,1,42.9373508900567,1,1,2,41.5281856776344
"541",541,"มหาวิทยาลัย","เหนือ",6,3,3,2,0,0,1,1,1,1,1,2,2,5,4,4,2,NA,2,1,2,"กลาง",1,1,0,1,0,1,2,3,3,2,3,2,2,2,4,1,2,2,3,45.7921626174822,2,2,2,45.5947237797431
"542",542,"มหาวิทยาลัย","เหนือ",5,0,5,2,0,0,0,0,0,0,0,2,2,3,2,NA,4,3,2,1,2,"กลาง",2,1,0,1,1,1,3,3,NA,3,3,2,2,2,1,1,3,2,3,55.7961821771108,2,2,2,31.5897820649891
"543",543,"มหาวิทยาลัย","เหนือ",7,0,7,2,0,0,0,0,0,0,0,2,3,3,3,3,3,1,3,2,3,"เหนือ",2,1,0,1,1,1,2,2,4,3,3,3,3,3,1,3,1,3,2,NA,2,3,2,54.9451232621487
"544",544,"มหาวิทยาลัย","เหนือ",6,0,6,1,0,0,0,0,0,0,0,2,2,NA,1,3,4,4,4,2,3,"กลาง",1,1,0,1,0,1,2,NA,2,1,2,3,2,3,2,2,1,1,1,28.7958134056095,2,2,2,53.5801414206772
"545",545,"มหาวิทยาลัย","เหนือ",6,0,6,3,0,0,0,0,0,0,0,2,3,5,1,3,4,2,3,1,5,"เหนือ",1,1,0,1,NA,1,3,3,2,2,2,2,3,2,5,1,2,2,2,43.0332474719514,1,1,2,34.1020357279324
"546",546,"มหาวิทยาลัย","เหนือ",8,8,0,3,0,0,1,0,0,1,0,1,3,NA,4,5,3,3,2,1,5,"กลาง",2,1,0,1,0,2,2,1,3,3,3,2,2,1,2,5,1,1,2,43.7359541048407,1,1,2,42.2120831614823
"547",547,"มหาวิทยาลัย","เหนือ",7,7,0,3,0,0,0,0,0,1,1,2,2,4,4,3,1,1,1,2,3,"กลาง",1,1,0,1,1,1,3,2,3,4,3,2,2,3,5,5,1,1,2,43.5837960541661,NA,1,3,50.7407072156141
"548",548,"มหาวิทยาลัย","เหนือ",6,0,6,2,0,0,0,0,0,0,0,2,3,5,3,4,4,2,2,2,5,"กลาง",2,1,0,1,0,1,3,3,2,2,2,3,3,2,3,5,2,1,2,34.1067257266893,1,1,1,42.293623093546
"549",549,"มหาวิทยาลัย","เหนือ",7,0,7,1,0,0,0,0,0,0,0,2,2,2,4,NA,2,3,2,2,2,"กลาง",1,1,0,1,0,1,2,1,NA,2,2,3,2,2,3,5,1,1,1,33.4494133087698,2,1,1,38.0965504118293
"550",550,"มหาวิทยาลัย","เหนือ",6,6,0,5,0,0,1,0,1,1,1,2,2,4,3,2,3,3,2,1,3,"กลาง",2,1,1,1,1,2,2,3,2,3,3,3,3,3,2,1,1,1,1,24.3407431796324,1,1,2,35.5548064081855
"551",551,"มหาวิทยาลัย","เหนือ",8,3,5,3,1,0,0,0,1,0,0,2,3,4,NA,5,1,2,4,1,2,"กลาง",1,1,0,1,1,1,1,3,3,2,2,1,3,2,5,1,1,2,2,40.7646029880397,1,1,1,43.9215819493351
"552",552,"มหาวิทยาลัย","เหนือ",5,5,0,3,0,1,0,0,1,0,0,2,2,3,4,2,2,3,3,1,5,"อิสาน",2,1,0,1,1,2,3,3,2,3,4,2,2,3,2,1,1,NA,1,49.8940311989092,2,2,2,49.9779747944286
"553",553,"มหาวิทยาลัย","เหนือ",7,5,2,3,0,1,1,0,1,0,1,2,3,4,2,NA,4,4,5,2,5,"กลาง",1,1,1,1,1,2,3,NA,3,3,3,3,2,2,1,3,1,1,2,44.1081352753238,1,1,2,37.2217856621298
"554",554,"มหาวิทยาลัย","เหนือ",6,3,3,2,1,1,0,0,0,1,1,2,2,3,1,NA,2,1,3,2,5,"กลาง",1,1,0,1,0,2,3,3,2,2,2,1,2,3,1,2,1,2,3,37.9597630684451,2,2,1,40.3660117392099
"555",555,"มหาวิทยาลัย","เหนือ",4,3,1,2,1,0,0,0,0,0,1,2,2,2,NA,2,3,3,5,2,2,"กลาง",2,1,0,1,1,2,3,3,2,2,2,3,3,3,3,2,1,1,1,26.927184429206,1,2,2,39.5804257887607
"556",556,"มหาวิทยาลัย","เหนือ",4,1,3,2,0,0,1,0,0,1,1,1,3,3,5,4,NA,2,4,1,5,"เหนือ",1,1,0,1,1,NA,3,2,4,3,3,1,1,2,4,1,2,3,2,58.8350651317324,2,2,1,38.2898046854115
"557",557,"มหาวิทยาลัย","เหนือ",6,0,6,3,0,0,0,0,0,0,0,1,2,4,4,2,5,2,NA,1,4,"กลาง",2,1,1,1,0,1,3,2,3,4,4,1,2,1,1,2,3,4,3,50.7242651102881,1,1,1,NA
"558",558,"มหาวิทยาลัย","เหนือ",6,5,1,3,1,0,1,1,0,1,1,1,3,NA,4,4,2,5,3,1,5,"อิสาน",2,1,0,1,1,2,2,3,4,3,3,1,1,1,4,5,4,4,3,54.8946743552643,1,1,1,38.4334150664435
"559",559,"มหาวิทยาลัย","เหนือ",5,5,0,2,1,1,1,0,1,1,1,1,3,5,4,5,2,2,NA,2,2,"ใต้",2,0,0,1,0,2,1,3,4,3,3,1,1,2,2,1,1,1,1,24.2359905004067,1,1,2,31.0039857456333
"560",560,"มหาวิทยาลัย","เหนือ",4,1,3,2,0,0,0,0,0,1,1,1,3,NA,5,4,3,3,3,2,4,"กลาง",1,1,1,1,1,1,3,3,5,5,NA,2,2,2,1,2,1,1,1,41.4864289092682,1,2,1,38.3677990508479
"561",561,"มหาวิทยาลัย","เหนือ",7,4,3,2,0,0,1,1,1,1,1,2,3,2,5,2,1,3,1,1,2,"กลาง",1,1,0,1,1,2,2,3,2,2,3,2,3,3,2,3,NA,2,1,40.7143095036519,1,1,1,34.7830536073401
"562",562,"มหาวิทยาลัย","เหนือ",5,0,5,1,0,0,0,0,0,0,0,1,3,4,4,3,NA,2,2,2,2,"เหนือ",3,1,0,1,0,1,1,1,1,3,2,2,1,2,5,4,2,1,2,34.1317355000254,1,1,1,34.1576786842043
